Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P192 Sullana - PVH,202510,INVENTARIOS,23289002,2109001,0.09055779569892473,1197672.73006993,2635673,1.7609156717435317,2.0,,5115086.961038961
P192 Sullana - PVH,202509,INVENTARIOS,22737433,2117739,0.0931388888888889,1293036.5273492285,2590902,1.6378030977527307,2.0,2.0,5430577.989859827
SO04 Jaen - PVO,202512,INVENTARIOS,15314483,10278472,0.6702688172043008,12050471.17087144,10111562,0.8529518708650378,2.0,2.0,1401797.2728001932
SO06 Tarapoto 2 - PVO,202512,ALMACÉN FRESCOS,15067223,1135916,0.07526881720430108,0,,Infinity,1.0,1.0,1713549.18
P199 Grifo Kio - PVS,202503,CAJAS,14981614,1850048,0.12348790322580647,0,2035698,Infinity,,0.5,1863958.8574040816
P229 Salaverry - PVH,202512,INVENTARIOS,14178359,9562674,0.6744556451612904,10937236.261013705,10280759,0.8743227312448763,2.0,1.5,2115661.7343735984
P223 Cusco Mall - PVH,202512,INVENTARIOS,12921380,11538224,0.8877016129032255,11247976.035979662,13009248,1.025804416998392,3.0,2.0,1259089.7478991603
P723 Puruchuco - PVH,202512,RECEPCIÓN,12446091,13558284,1.089422043010748,4919809.9844526,13272640,2.7558552043364246,3.0,1.0,1230216.368943783
P147 Juliaca - PVH,202512,INVENTARIOS,12019418,13235310,0.8881720430107519,11317395.38003539,9915938,1.1694660763860858,2.0,2.0,1310319.8070217927
P134 Centro Civico - PVH,202511,RECEPCIÓN,11889915,5785599,0.4865972222222224,3552943.8211287316,5478116,1.6283959925271145,2.0,1.0,1231957.7108605674
P119 Puente Piedra - PVH,202512,INVENTARIOS,11493618,12990545,1.1303024193548383,9404737.811099967,13435391,1.3812766725583645,2.0,3.0,1382944.9298111058
P723 Puruchuco - PVH,202509,RECEPCIÓN,11351882,6744891,0.5890694444444445,2898016.4545454546,6833857,2.3274163745415715,3.0,1.0,1234893.0111050855
1199 San Miguel - PVH,202505,RECEPCIÓN,11256609,5840202,0.5177083333333333,5541106.1721523665,5930252,1.0539776767589804,1.0,1.0,1310666.7138832998
P231 Ventanilla - PVH,202509,RECEPCIÓN,10817253,5791061,0.5353541666666667,4232148.888108584,6381448,1.3683501155338893,2.5,1.5,1537643.360703584
P145 Piura - PVH,202512,INVENTARIOS,10736349,12843527,1.1957862903225793,9669084.124071488,13084169,1.3283085217994572,3.0,3.0,1066039.985837367
P068 Primavera - PVH,202511,RECEPCIÓN,10329963,5724265,0.45752777777777787,1731823.8726477853,4875858,3.305339197829724,2.5,0.5,1248035.917673487
P126 Santa Clara - PVH,202512,INVENTARIOS,10300885,13257929,1.2870497311827949,15912767.521639153,11402279,0.8331629669051005,3.0,2.5,999181.4992402612
P115 Huancayo - PVH,202512,INVENTARIOS,9918461,12798142,1.2867674731182783,11869513.861132829,13103422,1.0782364248217444,3.0,3.0,1139052.7275671
P132 El Ejercito - PVS,202503,INVENTARIOS,9814193,3984839,0.40602822580645165,3341038.1735648657,4020724,1.1926949777255023,2.0,1.0,1053399.6722776701
1199 San Miguel - PVH,202503,RECEPCIÓN,9610262,6527653,0.6774193548387097,6353000.646591898,6492837,1.0274913136522021,1.0,1.0,1159633.4964285712
P089 Risso - PVH,202503,RECEPCIÓN,9605806,5149693,0.5361021505376344,2827308.6385208014,5111690,1.8214118472379546,1.0,1.0,1306980.8809707668
P723 Puruchuco - PVH,202511,RECEPCIÓN,9216898,8791064,0.9537986111111111,3197065.0346128205,7559131,2.7497295878639005,3.0,1.0,917224.0657604462
P146 Tacna - PVH,202512,INVENTARIOS,9197232,13268296,1.2189784946236557,9180843.739842584,11617080,1.4452153054755617,3.0,3.0,997480.271688793
P068 Primavera - PVH,202512,RECEPCIÓN,9102684,7646367,0.6985887096774194,2097157.545352304,6845366,3.6460620504862815,2.5,1.0,988965.6251659453
P134 Centro Civico - PVH,202505,RECEPCIÓN,9088000,5368882,0.5907661290322581,3255837.1192412395,5403018,1.6490021623843385,2.0,1.0,999885.7432257183
P089 Risso - PVH,202501,RECEPCIÓN,9035301,4453220,0.4926814516129033,2614571.428612966,4604822,1.703231463201003,1.0,1.0,1272165.079379629
1593 Aventura SJL - PVH,202512,INVENTARIOS,8727103,7783913,0.8917473118279566,5117513.869794721,5777404,1.5210341189192003,2.0,2.0,834178.0122388693
P225 Cajamarca - PVH,202512,INVENTARIOS,8652026,7626263,0.7962029569892468,5423784.097757681,6336540,1.406077984032011,2.0,2.0,999628.289512556
P723 Puruchuco - PVH,202512,INVENTARIOS,8643303,11693662,1.3530040322580636,9094675.659588126,11554059,1.2857701206388679,3.0,3.0,845478.6332682656
P172 Puno - PVH,202512,RECEPCIÓN,8471246,9549579,1.0085551075268817,1526771.6689123164,9075372,6.254752570044208,3.0,1.0,944798.1105728545
P724 Tumbes - PVH,202512,INVENTARIOS,8371246,8709422,0.8919825268817201,9024980.758099576,7466514,0.9650349317569044,2.0,2.0,827756.1249783393
SO03 Huanuco - PVO,202512,INVENTARIOS,8368453,11480966,1.3120766129032257,8027037.4752713675,11268921,1.4302868767423895,3.0,2.5,930832.840086664
P114 Pro - PVH,202512,INVENTARIOS,8305932,11069402,1.332822580645161,8575170.971901935,11867815,1.2908666166856446,3.0,4.0,910902.1843044717
P134 Centro Civico - PVH,202510,RECEPCIÓN,8262171,4516043,0.546592741935484,2415739.7193372143,5292564,1.8694242942857389,2.0,1.0,962955.560178525
P130 Chimbote - PVH,202512,INVENTARIOS,8161797,7285421,0.8911827956989238,8341087.991304802,7940601,0.8734377898416508,2.0,2.0,888927.6182432442
P102 Chiclayo - PVH,202512,INVENTARIOS,8137654,11009923,1.2791935483870964,9924964.314037267,11587471,1.1093161185907976,3.0,3.0,786885.6134157107
P048 Higuereta - PVH,202511,RECEPCIÓN,8135321,8955478,1.0990486111111113,3562186.9657808733,9797451,2.51403915516738,4.0,2.0,1018429.7024573019
P224 Brena - PVH,202512,INVENTARIOS,7997301,7162045,0.8955577956989248,6142107.35802579,7869304,1.1660566386293256,3.0,2.0,916696.8384874567
V095 Monterrico - VIV,202512,INVENTARIOS,7934030,3536187,0.44507392473118235,11360911.008362556,4041134,0.3112591197481503,1.0,1.0,932945.0163830471
1198 Cusco Wanchaq - PVH,202512,INVENTARIOS,7874686,3142148,0.39901881720430105,6939771.3889056165,2485625,0.45277398691018106,2.0,1.0,878001.1991780915
SO03 Huanuco - PVO,202507,RECEPCIÓN,7754071,8667110,1.0509408602150538,3660331.246197295,8471773,2.3678484915823472,3.0,1.0,877598.6783987723
SO02 Pucallpa - PVO,202512,INVENTARIOS,7725511,10748839,1.334233870967741,7481407.1972520035,10140105,1.4367402771430695,3.0,3.0,653898.8546042496
P723 Puruchuco - PVH,202508,RECEPCIÓN,7706200,7583978,0.9841397849462366,2525473.5840169983,7823391,3.0029924438714524,3.0,1.0,832411.6071018848
P724 Tumbes - PVH,202503,RECEPCIÓN,7683853,8253382,0.9249596774193549,3362714.752964464,6868134,2.4543806139738966,2.0,1.0,867166.698809887
P115 Huancayo - PVH,202504,RECEPCIÓN,7683738,9300107,1.2098333333333333,2522219.832457097,10380714,3.687270534598889,4.0,1.0,899774.3780135006
P132 El Ejercito - PVS,202504,INVENTARIOS,7580238,2474369,0.3264236111111112,1783127.253333333,2580612,1.3876567168016067,2.0,1.0,1075446.101478566
P769 Chiclayo Aventura - PVH,202512,INVENTARIOS,7525558,6493680,0.8372715053763441,5024125.69460037,6714574,1.2924995879340797,2.0,2.0,784736.272261731
P010 Caminos del Inca - PVS,202512,INVENTARIOS,7524980,9340902,1.2362903225806452,7377145.453388481,10125301,1.2661946668964656,3.0,2.5,791676.5035877364
P723 Puruchuco - PVH,202505,RECEPCIÓN,7504355,7896871,1.0523051075268819,2488607.3937685457,7674858,3.1732088395195266,3.0,1.0,744045.5286206037
P723 Puruchuco - PVH,202507,RECEPCIÓN,7490798,7964007,1.063172043010753,3013123.6793224593,8986765,2.6431067349319064,3.0,1.0,731110.1012389379
P143 Nvo Chimbote - PVH,202512,INVENTARIOS,7412533,5990503,0.7980376344086021,4423905.480428824,6521697,1.3541210332141453,3.0,2.0,695615.063832654
P723 Puruchuco - PVH,202506,RECEPCIÓN,7199487,7238123,0.9974027777777779,4048596.349997618,8041615,1.7878104790575775,3.0,1.0,698409.8756492556
P139 Alameda Sur - PVS,202512,RECEPCIÓN,6937213,7816020,1.1266801075268817,2634419.968338649,7788591,2.966884526360858,1.0,1.0,795335.6716015509
P195 San Borja - PVH,202512,INVENTARIOS,6893382,9248952,1.3315524193548383,7364256.84655089,10549209,1.2559246808904858,2.0,3.0,801574.1509576807
V094 Benavides - VIV,202502,RECEPCIÓN,6840906,3045628,0.4452083333333334,1430116.7821983611,2907850,2.129636032463231,2.0,1.0,896833.0377164249
P333 Ves Placita - PVH,202512,INVENTARIOS,6799582,8472268,1.2421236559139777,6829649.461325519,8203936,1.2405128430055146,3.0,3.0,891646.330642544
P291 La Curva - PVH,202512,INVENTARIOS,6766587,9020637,1.332258064516128,7907752.175439719,9090328,1.140733394252887,3.0,3.0,804211.3150121073
P048 Higuereta - PVH,202512,INVENTARIOS,6712644,9080526,1.3341397849462358,7000863.53998335,10427130,1.2970579912234077,3.0,3.0,735767.7291960513
P723 Puruchuco - PVH,202504,RECEPCIÓN,6700125,7178766,1.0714375,2790962.7005647616,7789994,2.5721467608819535,3.0,1.0,685203.7986350113
P192 Sullana - PVH,202508,RECEPCIÓN,6688773,2769008,0.41397849462365593,2954976.4550762074,3126650,0.9370660179857807,2.0,1.0,1475450.4833766234
P201 Huaral - PVH,202504,RECEPCIÓN,6669102,3462550,0.5185833333333334,2118117.8210220393,3535540,1.634729426113436,2.0,1.0,858410.3988430017
P723 Puruchuco - PVH,202510,RECEPCIÓN,6630001,7023880,1.0594086021505378,2366402.382745263,7194923,2.968168001019166,3.0,1.0,734303.4013702105
P106 Valle Hermoso - PVH,202512,INVENTARIOS,6598343,5881506,0.8893951612903221,6894800.659881804,6600603,0.8530350143728194,2.0,2.0,755307.6846352635
P139 Alameda Sur - PVS,202512,INVENTARIOS,6585588,5843558,0.8873252688172034,5136863.5441887565,6028526,1.137573198067664,2.0,2.0,780085.9778541898
P158 Villa el Salvador - PVS,202512,INVENTARIOS,6559009,2918318,0.44493279569892474,7248940.490215128,3051162,0.40258545699737047,2.0,1.0,1171143.1592302811
P223 Cusco Mall - PVH,202511,INVENTARIOS,6547840,9525226,1.4462777777777776,3217473.7595332353,9324251,2.9604672024992187,3.0,2.0,614525.1027541967
P724 Tumbes - PVH,202504,RECEPCIÓN,6453891,7423100,0.9750902777777779,2742764.0308865216,6005486,2.7064304826838113,2.0,1.0,652294.7920776566
SO05 Tarapoto - PVO,202512,INVENTARIOS,6412616,9015543,1.3463709677419344,10185182.740355887,12387282,0.8851626308361142,3.0,3.0,550155.9508834985
P081 La Molina - PVH,202503,RECEPCIÓN,6401142,10358837,1.6182795698924732,2957415.14259927,10723147,3.502665868849116,3.0,2.0,766201.3004850498
P142 Chincha - PVH,202512,RECEPCIÓN,6319202,6200250,0.9811760752688126,3988768.719080184,6398965,1.554426963975436,2.0,1.0,696333.7236008499
P096 San Jorge - PVS,202512,INVENTARIOS,6299767,2800602,0.4445564516129028,6742427.433312538,3207143,0.4153700188396498,1.0,1.0,831017.0702947853
P201 Huaral - PVH,202510,RECEPCIÓN,6233390,3299508,0.5293279569892473,3786247.556957067,3502858,0.8714453084128896,2.0,1.0,742037.0203646336
P201 Huaral - PVH,202508,RECEPCIÓN,6214967,3420289,0.5503091397849463,3060560.298483749,3529703,1.117536848300119,2.0,1.0,806083.9952128568
P061 Cortijo - PVH,202512,INVENTARIOS,6199300,7301966,1.1747110215053755,6477475.246846845,8761243,1.1272857775187188,3.0,3.0,633092.7235593293
P229 Salaverry - PVH,202512,RECEPCIÓN,6198153,12340823,1.9910483870967695,4989533.778028041,12977898,2.4733418148894324,2.0,2.0,867814.8061079854
V094 Benavides - VIV,202503,RECEPCIÓN,6181823,3335318,0.5395362903225807,1534381.2514035632,3174805,2.1737216333613594,2.0,1.0,796725.1224991593
P119 Puente Piedra - PVH,202503,RECEPCIÓN,6170236,12326422,1.9973521505376346,4473809.10458425,12419340,2.755240847753045,3.0,3.0,732596.074060416
P333 Ves Placita - PVH,202505,RECEPCIÓN,6159913,6405895,1.0399327956989248,3050401.9425405017,6228071,2.100016768499991,2.0,1.0,801973.6693076217
P122 Ica - PVH,202512,INVENTARIOS,6062014,7716841,1.2730779569892465,6272599.781925373,8295837,1.2302460205154868,2.0,2.5,516151.42371485615
P203 Rimac Alcazar - PVH,202512,INVENTARIOS,6051578,5304723,0.8764583333333325,6051840.61804934,5410159,0.8765470333403863,2.0,2.0,832942.0489660099
P193 Trujillo Mansiche - PVS,202503,ALMACÉN,6050532,2949527,0.4763104838709678,0,753224,Infinity,,,330840.9227513227
P037 Jockey Plaza - PVH,202512,INVENTARIOS,6021661,5969314,0.9909139784946186,5091029.181769676,6782736,1.1725160663732488,3.0,2.0,564684.7376702324
P229 Salaverry - PVH,202510,RECEPCIÓN,5990344,8406490,1.403340053763441,2904140.295712099,9176907,2.8946568670983295,4.0,2.0,816394.2138810536
P172 Puno - PVH,202512,INVENTARIOS,5985263,8024364,1.1978091397849453,5244521.871641066,7678375,1.530046743324781,3.0,3.0,644980.0509442647
P225 Cajamarca - PVH,202507,RECEPCIÓN,5909632,5974456,0.9833870967741937,2602458.1407958698,5992597,2.2956970782142623,3.5,1.5,689586.6157126456
1199 San Miguel - PVH,202501,RECEPCIÓN,5898193,5585774,0.9434475806451614,0,5578169,Infinity,1.0,1.0,699494.117679239
P724 Tumbes - PVH,202511,RECEPCIÓN,5895688,7268937,1.0703680555555557,4195722.32456113,5590889,1.7324638471542146,2.0,1.0,580103.5043760907
P105 Salamanca - PVS,202512,INVENTARIOS,5877967,2609217,0.4438978494623656,6186496.455501197,2992335,0.42176000564581506,1.0,1.0,754804.2875310362
P126 Santa Clara - PVH,202505,INVENTARIOS,5847089,9609109,1.6434005376344087,3055762.4564641793,9257701,3.144586461448542,3.0,2.0,579078.5497550482
P333 Ves Placita - PVH,202501,RECEPCIÓN,5829311,6017558,1.0322177419354839,2903585.200658884,5738302,2.0724577459047833,2.0,1.0,707319.7934294309
P202 LurIn - PVH,202512,INVENTARIOS,5791971,8253098,1.4224395161290269,4790108.933914764,8498376,1.72294579389765,3.0,3.0,698969.6143324903
P141 Chosica - PVH,202512,INVENTARIOS,5790187,5252411,0.9070833333333326,5590435.784683071,5241025,0.9395351118048422,1.0,2.0,646409.1869545251
P089 Risso - PVH,202512,RECEPCIÓN,5721698,5613454,0.9810819892473119,4658970.86228248,6567747,1.2048700466115188,1.0,1.0,717600.126917149
P089 Risso - PVH,202505,RECEPCIÓN,5711068,4542065,0.7953091397849463,2569756.7112502204,4769879,1.767507737255884,1.0,1.0,774198.634466208
1199 San Miguel - PVH,202504,RECEPCIÓN,5710961,5594412,0.9770833333333334,5934650.779180782,6018322,0.9426691204182789,1.0,1.0,680724.0286567165
P333 Ves Placita - PVH,202506,RECEPCIÓN,5689244,5862529,1.0304583333333335,3280269.458509455,6243907,1.7872096436443103,2.0,1.0,711802.385669807
