Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P465 Sucre - PVH,202605,RECEPCIÓN,13329553,9604383,0.7197580645161288,5318450.802335599,9189569,1.7278656974253472,2.0,1.0,1137798.0468347357
SO06 Tarapoto 2 - PVO,202605,INVENTARIOS,11546384,5294636,0.45669354838709686,1834123.259333333,5502370,3,2.5,2.0,751974.7130496202
P172 Puno - PVH,202605,RECEPCIÓN,10676586,7831932,0.6573319892473121,2593584.77450293,6860361,2.645126795176692,3.0,1.0,848639.9705554586
P139 Alameda Sur - PVS,202605,RECEPCIÓN,9927073,6774760,0.6824529569892474,7875989.914940254,6401465,0.8127823135421778,1.0,1.0,968922.5949246176
P723 Puruchuco - PVH,202605,RECEPCIÓN,9602283,8817453,0.9184677419354839,3158830.9607846444,8386135,2.6548224147191806,3.0,1.0,756437.7258758447
P089 Risso - PVH,202605,RECEPCIÓN,7322974,4496690,0.6140524193548387,5378752.167313986,4697961,0.8734295999077502,1.0,1.0,746259.2533736086
P126 Santa Clara - PVH,202605,RECEPCIÓN,6106874,12239318,2.004173387096773,4158601.8261292316,11040349,2.6548224147191806,3.0,3.0,409764.62679690577
P126 Santa Clara - PVH,202605,INVENTARIOS,6088031,11037054,1.8128965053763442,3383583.239389734,8982813,2.6548224147191806,3.0,2.5,392580.6012032963
P105 Salamanca - PVS,202605,RECEPCIÓN,6044746,2705146,0.4475201612903225,1658513.3247735805,2696021,1.6255646270843556,2.0,,673915.3586520705
P132 El Ejercito - PVS,202605,RECEPCIÓN,5794360,3189234,0.5504032258064516,1314765.635679497,3205855,2.4383469406265332,3.0,1.0,679844.3621978023
P226 Paita - PVH,202605,RECEPCIÓN,5776211,6180854,0.9846572580645161,2053376.8527482573,5431442,2.645126795176692,3.0,1.0,543955.5089989558
P104 Arequipa - PVH,202605,RECEPCIÓN,4992077,5863259,1.1748521505376344,2862286.3779969206,5126037,1.7908890615226603,2.0,1.5,286633.3264537979
P115 Huancayo - PVH,202605,INVENTARIOS,4849346,9181846,1.8937163978494624,2903761.9536179183,7800473,2.6863335922839906,3.0,2.0,420405.9440495413
SO02 Pucallpa - PVO,202605,RECEPCIÓN,4790454,10155315,2.000127688172042,3415801.065458272,9175981,2.6863335922839906,1.0,2.0,346955.75392700086
P201 Huaral - PVH,202605,RECEPCIÓN,4695060,3893492,0.8292741935483872,2114214.6907702237,3782649,1.7891507906521802,2.0,1.0,407879.9902752112
P769 Chiclayo Aventura - PVH,202605,INVENTARIOS,4629379,5540321,1.1967741935483869,2438630.435313952,4367317,1.7908890615226603,2.0,2.0,385152.02156334236
P147 Juliaca - PVH,202605,INVENTARIOS,4624372,9520471,1.895362903225807,4583098.147308744,8207820,1.7908890615226603,2.0,2.0,365049.35219657473
P010 Caminos del Inca - PVS,202605,INVENTARIOS,4560157,7489412,1.6396370967741938,3838153.294324049,9604041,2.50225569447752,3.0,2.0,445169.84974055033
P142 Chincha - PVH,202605,RECEPCIÓN,4531164,4270227,0.942412634408602,2248917.292898102,4023652,1.7891507906521802,2.0,1.0,391718.75091812847
P229 Salaverry - PVH,202605,RECEPCIÓN,4339938,9548841,2.2000604838709683,5333448.815108594,9215483,1.7278656974253472,2.0,2.0,421067.8600844917
